synopsis-3,describes-4,version-7:recipient
<NULL>,'s-3,<NULL>
<NULL>,pulling-15,beam-17:recipient
<NULL>,pulling-15,roof-20:away_from_location
San-7,fight-15,Lady_Eboshi-16:recipient
San-7,runs-12,off-13:verb_complement
San-7,fight-15,Lady_Eboshi-16:recipient
San-7,runs-12,off-13:verb_complement
San-7,pushes-8,Ashitaka-9:recipient
San-7,pushes-8,away-10:modifier
San-7,pushes-8,soon-2:modifier
Eboshi-4,recovers-5,<NULL>
<NULL>,showing-7,<NULL>
Ashitaka-1,follows-2,San-3:recipient
Gonza-2,tries-3,When-1:modifier
sword-12,blade-13,circle-16:modified_to
circle-18,cheering-24,Eboshi-26:destination
San-1,fighting-15,circle-18:is_participant_in
Ashitaka-1,breaks-2,circle-5:modified_to
tendrils-15,holds-2,arm-7:recipient
tendrils-15,holds-2,up-3:verb_complement
tendrils-15,holds-2,townspeople-1:dependent
tendrils-15,show-17,<NULL>
<NULL>,covered-9,writhing-12:is_participant_in
curse-19,is-20,work-22:site
<NULL>,is-2,<NULL>
townspeople-8,tells-9,onlookers-11:recipient
hatred-4,looks-5,what-3:recipient
<NULL>,kill-11,me-12:recipient
<NULL>,kill-11,soon-8:modifier
<NULL>,kill-11,will-10:modal_verb
<NULL>,eating-3,<NULL>
<NULL>,grow-7,faster-8:modifier
anger-3,make-5,only-4:modifier
Fear-1,make-5,only-4:modifier
nobody-2,hear-6,speech-10:recipient
nobody-2,'s-3,<NULL>
<NULL>,removing-19,arm-22:recipient
Eboshi-14,cure-16,nobody-17:recipient
Eboshi-14,cure-16,will-15:modal_verb
San-1,struggling-3,<NULL>
Ashitaka-1,knocks-2,both-4:dependent
Ashitaka-1,knocks-2,them-3:recipient
<NULL>,stop-7,Ashitaka-8:recipient
<NULL>,fighting-10,nobody-11:recipient
nobody-10,taking-12,away-14:verb_complement
nobody-10,taking-12,San-13:recipient
nobody-1,says-9,<NULL>
nobody-1,hands-2,Eboshi-4:recipient
<NULL>,are-3,<NULL>
<NULL>,upset-13,treatment-17:site
townspeople-24,carries-25,San-26:recipient
guards-3,open-6,not-5:negative
guards-3,open-6,When-1:modifier
guards-3,open-6,wo-4:modal_verb
guards-3,open-6,gate-11:recipient
townspeople-22,opens-23,<NULL>
gate-14,takes-15,men-17:recipient
<NULL>,bleeding-27,profusely-28:modifier
brothers-4,waiting-6,<NULL>
townspeople-13,leaves-14,Iron_Town-15:recipient
Ashitaka-1,tells-2,<NULL>
Yakul-1,carries-2,Ashitaka-3:recipient
Yakul-1,carries-2,San-7:recipient
she-18,is-19,where-17:modifier
San-4,flails-5,moment-9:recipient
San-4,struggles-7,<NULL>
she-15,knows-16,<NULL>
herself-10,comes-11,<NULL>
she-1,knocks-2,Ashitaka-3:recipient
