Chigurh-1,leaves-2,house-4:recipient
Chigurh-18,struck-20,speeding-25:time_between
Chigurh-18,struck-20,when-17:modifier
Chigurh-18,struck-20,broadside-21:recipient
Chigurh-18,struck-20,mirror-16:time
Chigurh-1,gets-2,bone-12:recipient
Chigurh-1,gets-2,out-3:verb_complement
<NULL>,protruding-13,elbow-18:object
Chigurh-1,pays-2,<NULL>
Chigurh-33,left-36,already-35:modifier
Chigurh-25,asks-26,boys-27:recipient
Chigurh-13,uses-14,shirt-10:recipient
Chigurh-1,limps-2,down-4:modifier
Chigurh-1,limps-2,street-6:recipient
Jones-43,throw-46,will-44:modal_verb
Jones-43,throw-46,just-45:modifier
Jones-43,throw-46,wife-48:recipient
Jones-43,throw-46,off-47:verb_complement
<NULL>,restless-25,Loretta_Tess_Harper_Jones-23:recipient
<NULL>,restless-25,retirement-27:is_participant_in
<NULL>,restless-25,house-5:site
wife-30,rebuffs-31,offer-34:recipient
<NULL>,established-49,routine-50:object
Jones-1,recounts-2,dream-4:recipient
Bell-1,dreamed-2,<NULL>
father-8,riding-10,pass-13:recipient
Jones-4,riding-10,pass-13:recipient
father-3,rode-16,ahead-17:modifier
father-3,rode-16,darkness-20:modified_to
father-3,disappeared-22,<NULL>
that-11,glowed-12,<NULL>
father-15,kept-16,<NULL>
Bell-12,dreamed-13,<NULL>
<NULL>,riding-17,forward-18:modifier
father-2,see-5,anything-6:recipient
father-2,see-5,not-4:negative
father-2,see-5,could-3:modal_verb
father-2,see-5,night-10:is_participant_in
<NULL>,waiting-28,father-30:destination
